Date,2021 Traveler Throughput,2020 Traveler Throughput,2019 Traveler Throughput
12/18/2020,,1066747,2608088
12/17/2020,,846934,2471408
12/16/2020,,641966,2234374
12/15/2020,,552024,2009112
12/14/2020,,752451,2250386
12/13/2020,,865014,2300248
12/12/2020,,662380,1893871
12/11/2020,,787489,2388029
12/10/2020,,754307,2362310
12/09/2020,,564372,2020488
12/08/2020,,501513,1897051
12/07/2020,,703546,2226290
12/06/2020,,837137,2292079
12/05/2020,,629430,1755801
12/04/2020,,753951,2278205
12/03/2020,,738050,2262878
12/02/2020,,632356,2054380
12/01/2020,,780283,2280403
11/30/2020,,981912,2591470
11/29/2020,,1176091,2882915
11/28/2020,,964630,2648268
11/27/2020,,820399,1968137
11/26/2020,,560902,1591158
11/25/2020,,1070967,2624250
11/24/2020,,912090,2435170
11/23/2020,,917354,2254188
11/22/2020,,1047934,2321546
11/21/2020,,984369,2194291
11/20/2020,,1019836,2550459
11/19/2020,,907332,2428095
11/18/2020,,703135,2071631
11/17/2020,,611497,1900895
11/16/2020,,883157,2298856
11/15/2020,,978297,2396681
11/14/2020,,697360,1807230
11/13/2020,,881579,2437211
11/12/2020,,866679,2364920
11/11/2020,,674633,2072207
11/10/2020,,596475,2150003
11/09/2020,,836600,2465392
11/08/2020,,973020,2356349
11/07/2020,,689951,1908805
11/06/2020,,895091,2544350
11/05/2020,,867105,2507365
11/04/2020,,636533,2147882
11/03/2020,,575829,2005101
11/02/2020,,846138,2403304
11/01/2020,,936092,2459525
10/31/2020,,618476,1836781
10/30/2020,,892712,2319906
10/29/2020,,873636,2047910
10/28/2020,,666957,2066516
10/27/2020,,648517,1910506
10/26/2020,,898735,2347017
10/25/2020,,983745,2478287
10/24/2020,,755287,1931971
10/23/2020,,958437,2594337
10/22/2020,,934386,2541581
10/21/2020,,694150,2245199
10/20/2020,,662484,2126637
10/19/2020,,921031,2514673
10/18/2020,,1031505,2606266
10/17/2020,,788743,2049855
10/16/2020,,973046,2637667
10/15/2020,,950024,2581007
10/14/2020,,717940,2317763
10/13/2020,,680894,2313632
10/12/2020,,958440,2616771
10/11/2020,,984234,2555333
10/10/2020,,769868,2074718
10/09/2020,,968545,2688032
10/08/2020,,936915,2605291
10/07/2020,,668519,2215233
10/06/2020,,590766,2035628
10/05/2020,,816838,2400153
10/04/2020,,900911,2542118
10/03/2020,,677661,1921185
10/02/2020,,857186,2526835
10/01/2020,,855908,2447687
09/30/2020,,634046,2082179
09/29/2020,,568688,1998980
09/28/2020,,797699,2368818
09/27/2020,,873038,2452596
09/26/2020,,659350,1966234
09/25/2020,,826329,2547611
09/24/2020,,826316,2510926
09/23/2020,,608726,2188236
09/22/2020,,549741,2033490
09/21/2020,,769936,2431388
09/20/2020,,847968,2517826
09/19/2020,,638575,1938402
09/18/2020,,812214,2571924
09/17/2020,,784746,2455410
09/16/2020,,577847,2146857
09/15/2020,,522383,2013050
09/14/2020,,729558,2405832
09/13/2020,,809850,2485134
09/12/2020,,613703,1879822
09/11/2020,,731353,2484025
09/10/2020,,755051,2449302
09/09/2020,,616923,2005867
09/08/2020,,704075,1943379
09/07/2020,,935308,2292985
09/06/2020,,689630,2370003
09/05/2020,,664640,1755502
09/04/2020,,968673,2198828
09/03/2020,,877698,2109858
09/02/2020,,578131,1889044
09/01/2020,,516068,2037750
08/31/2020,,711178,2278159
08/30/2020,,807695,1887845
08/29/2020,,591734,1954902
08/28/2020,,738873,2658558
08/27/2020,,721060,2561109
08/26/2020,,540043,2188688
08/25/2020,,523186,2015088
08/24/2020,,726788,2358007
08/23/2020,,841806,2493162
08/22/2020,,625822,2039233
08/21/2020,,764468,2559244
08/20/2020,,772380,2533184
08/19/2020,,586718,2306838
08/18/2020,,565946,2247446
08/17/2020,,773319,2576965
08/16/2020,,862949,2584444
08/15/2020,,689895,2171962
08/14/2020,,783744,2627564
08/13/2020,,761821,2602446
08/12/2020,,590749,2391906
08/11/2020,,559420,2306829
08/10/2020,,761861,2567986
08/09/2020,,831789,2647897
08/08/2020,,683212,2290340
